,0,1
0,2.733761,6.1031384
1,0.42855492,-7.068395
2,-4.0258293,5.9865446
3,3.4079282,-5.8346624
4,-4.6157527,5.2993274
5,-3.9778774,6.2534027
6,-1.3042927,7.121351
7,6.910633,-2.8980708
8,-0.06278197,6.925626
9,-4.3866773,5.834947
10,2.7813466,4.88296
11,-4.5859485,5.4726014
12,0.4324953,-6.9649386
13,-3.710486,-5.8109484
14,7.062947,-0.3286945
15,-6.6251545,-2.0186703
16,-4.9670787,-4.5257688
17,6.4350324,-3.983272
18,5.5086184,-4.8358355
19,-6.211784,3.5467114
20,7.1610413,-0.94114095
21,-4.6130886,-4.7507896
22,7.273236,-2.2048554
23,0.62257916,-7.0737686
24,5.776961,-4.633259
25,-4.0579543,6.157413
26,7.1597905,-2.3371015
27,-1.8955762,6.9995294
28,5.561677,-4.679939
29,-1.686936,-7.0505433
30,2.3017495,6.404446
31,4.943614,-4.9147754
32,4.8003807,-5.3989477
33,-2.1808624,-6.7328196
34,-4.237965,5.6354923
35,6.8501625,-3.1202476
36,3.837206,4.610451
37,6.6760635,-2.5631247
38,-6.24593,2.5700698
39,5.2001777,3.0858915
40,-6.348629,0.769431
41,1.5502906,-6.9123235
42,-6.4006863,2.963289
43,4.2441525,4.568282
44,3.947222,4.925665
45,6.383221,-3.9821777
46,0.54101706,6.701809
47,-5.2957597,3.9325743
48,6.6703253,-3.439275
49,-4.081558,-5.1043663
50,1.3157396,-6.8951225
51,6.018689,2.3820922
52,-6.4744325,-0.23083816
53,-4.949995,-4.615668
54,1.3547089,-6.885357
55,6.738912,0.8641454
56,2.4744363,6.282308
57,-6.0672398,3.7220597
58,-3.7434359,-5.1989036
59,7.1585608,-0.78021276
60,-0.60575664,-7.066978
61,5.9062047,2.7297835
62,7.031831,-0.4127618
63,5.4336715,2.666143
64,6.4655967,1.4471774
65,-4.3498273,-5.3209434
66,6.380799,-3.978392
67,-6.291941,-3.3520725
68,-6.414818,1.7729862
69,-6.006631,3.9789076
70,-6.394362,2.6905844
71,-3.0467043,-6.1595545
72,-5.759252,3.5786808
73,-2.676695,-6.445745
74,-1.0511389,7.0462584
75,5.156702,3.0859272
76,-3.1144357,6.487708
77,3.7131412,4.940423
78,5.762789,2.6446493
79,-6.4561276,2.9970198
80,-5.8765564,4.3327975
81,-6.1005073,3.6431165
82,-5.759862,4.3747425
83,6.6061864,1.4019495
84,5.09821,-5.359784
85,7.0029755,-0.30762786
86,-3.0536737,-5.999782
87,-4.1338935,-4.429921
88,6.5354624,-3.6933432
89,-1.1093206,-7.356641
90,3.9172723,4.9241962
91,-6.5775123,-1.206157
92,4.9279914,3.8976662
93,1.1855862,-7.105814
94,5.1931906,-5.061599
95,-5.9323616,2.2248616
96,-5.7454147,3.905996
97,-4.8563404,4.4038253
98,5.2591715,-5.2672763
99,-5.9816194,-3.7977335
100,0.0033824916,-7.189966
101,4.379034,4.431191
102,-6.44425,3.5148468
103,-6.7652683,-2.1336079
104,-6.3860216,2.6686404
105,7.090278,0.39295667
106,-6.619695,-1.3540213
107,-5.370059,-4.0895386
108,-4.632968,5.4046564
109,5.3036904,-4.8811097
110,-0.37201634,-7.3476043
111,4.125115,-5.895683
112,2.163665,5.9998784
113,5.164957,-5.149529
114,5.0872493,-5.5159326
115,2.2864642,6.371317
116,7.0416675,0.25023785
117,-5.9741664,3.0550804
118,6.0425215,2.8551292
119,6.939651,0.3941977
120,-0.7303851,6.7398677
121,6.812187,1.4105552
122,6.202994,-3.9878361
123,2.049313,6.4521475
124,-4.1934695,-5.4368296
125,-6.721574,-1.739922
126,-6.3198843,3.0155869
127,-0.6546876,-7.2815056
128,-2.7622852,-5.9278755
129,5.386775,-4.490423
130,6.418435,-3.915784
131,6.2677445,2.5458157
132,0.028818214,6.656323
133,7.160183,-0.6755863
134,2.7000716,-6.249005
135,3.8195467,5.080935
136,-4.277043,5.5192146
137,-6.4420094,-1.4594259
138,0.70010793,-7.0588927
139,-1.3874236,-7.223032
140,-3.2437472,-5.8528814
141,-6.592738,-0.44724396
142,-6.607565,-1.4573426
143,-1.3873291,6.521233
144,2.7014575,-5.5340247
145,-6.478001,0.25383618
146,-0.41462144,-7.1788387
147,2.4742532,5.4004273
148,-6.301236,3.839373
149,-1.5021691,-7.230852
150,4.721253,4.1440597
151,-3.349333,-5.9050727
152,-3.5989454,-5.533236
153,0.57910454,-6.759345
154,-1.75068,-6.8878055
155,-0.24934971,7.042163
156,-4.512317,-4.987193
157,-6.3189898,2.313162
158,5.8917875,-4.64978
159,-0.3805823,-7.1581388
160,1.4047232,6.5895853
161,3.9564853,4.945574
162,6.378545,1.3301789
163,-6.6836634,-1.2907944
164,4.0083356,-5.744367
165,-6.4091997,-2.6596267
166,6.5993075,-3.2693138
167,-1.1513214,7.2707276
168,7.0928187,-1.9895523
169,-2.186935,-6.659207
170,-2.3326669,6.736686
171,-1.2422411,-7.074629
172,-5.1105366,5.0094843
173,-1.3322233,-7.0075455
174,-1.8423172,-6.8996143
175,-6.470359,3.2800274
176,6.137796,-4.328125
177,6.5186424,1.944576
178,-6.656154,-1.6153915
179,-5.9705806,1.9655926
180,6.3810077,-3.9449303
181,-1.3909082,-6.9170456
182,6.796788,-3.1757379
183,-0.25464606,-7.158445
184,-6.254445,-3.140573
185,2.7464116,-6.2363415
186,-3.4496276,6.5438247
187,7.213244,-2.0374699
188,-6.331046,2.509622
189,-1.6751882,7.0861716
190,-2.820514,-5.7511644
191,3.5208814,-5.604813
192,-1.8407872,7.2582135
193,-1.293328,-7.021887
194,2.0935225,6.449518
195,6.371417,-3.7437432
196,-4.7406306,-4.7644663
197,1.3852981,-7.042616
198,-6.8339176,-1.6150236
199,-6.27477,2.5804014
200,-6.8543525,-1.1092726
201,0.46898866,-7.0806036
202,-5.8555446,-3.314593
203,-2.587877,-6.141821
204,4.3304014,-5.8092937
205,-6.3337626,0.061832767
206,2.6310327,6.1925597
207,-1.9335777,6.8646517
208,-5.8352594,-3.8018496
209,-6.27807,-3.0444982
210,-2.5698135,6.991414
211,6.310606,2.4987946
212,-6.0881133,-0.2745907
213,1.2023238,-7.0272417
214,6.9518733,-2.8711603
215,6.7514143,1.2415049
216,-6.030299,2.007973
217,6.9384027,-2.8782125
218,2.4600463,-6.103222
219,5.3592606,2.947184
220,-2.3515697,-6.530859
221,-3.6615586,-5.421179
222,3.5834932,-5.7801027
223,-2.147041,-6.7768474
224,6.314521,0.68802357
225,-5.0305433,-3.828251
226,0.4376075,6.987368
227,-1.548467,-7.0662274
228,-0.96122485,6.7839375
229,5.967657,2.081197
230,7.1257305,-2.4976852
231,0.85523766,-6.8596625
232,1.8178647,6.340944
233,-1.5181915,7.070681
234,7.2058134,-0.37218317
235,0.5192375,-6.999227
236,-5.986722,3.2531567
237,-6.4065485,-0.43495592
238,6.188003,2.8846152
239,6.241519,-3.9359243
240,-5.523399,4.574254
241,-6.5483923,-2.2901452
242,4.8877864,-5.4609957
243,-1.1565384,7.1424956
244,-6.375164,3.1901152
245,-3.1866996,5.7364163
246,-4.2488513,5.7416797
247,1.3141407,-6.997231
248,-5.819209,4.251826
249,-3.1799877,-5.9695687
250,0.26830366,6.6756535
251,-5.6810174,4.1615496
252,2.8924391,-6.157485
253,-0.23570356,-7.0950456
254,-6.266988,2.7083101
255,-2.760287,-5.687746
256,-6.1640472,-3.7786014
257,7.0181713,-2.3378036
258,6.8435264,-3.4109688
