,0,1
0,-39.00333,-19.281645
1,-56.25111,-25.679037
2,-19.979805,-5.4557185
3,-44.370983,-42.579376
4,-14.956334,-17.9268
5,-53.213737,-14.40677
6,-48.860058,-14.965701
7,-52.85706,-29.087267
8,-46.193447,-23.011713
9,-26.564493,-15.213234
10,-33.780235,1.2719545
11,-30.448704,-26.308838
12,-43.14398,-10.798704
13,-45.956944,-3.9986494
14,-44.929085,-5.7587333
15,-20.796207,-11.584445
16,-40.192585,-23.43417
17,-28.265316,-12.44766
18,-43.65146,-30.793318
19,-39.834534,-10.246079
20,-50.459106,-5.622377
21,-27.108425,-21.882713
22,-41.43613,4.6630254
23,-41.263714,-35.8419
24,-40.323784,-20.388885
25,-20.779263,-29.910618
26,-33.102036,-1.0253253
27,-41.554955,-32.994213
28,-56.657043,-25.376884
29,-57.533424,-3.775287
30,-46.47477,3.171811
31,-57.084663,-25.047935
32,-56.534172,-21.971586
33,-37.782867,-14.577965
34,-20.696234,-10.07874
35,-50.654552,-10.001054
36,-49.67607,-17.409859
37,-38.06757,-16.723993
38,-44.543457,-21.713583
39,-32.999935,1.6861873
40,-37.818123,-2.2689972
41,-21.87804,-13.550811
42,-37.113678,-25.829899
43,-43.71992,-5.8763785
44,-43.48797,-19.32854
45,-39.00157,-3.5601263
46,-38.310028,-27.226591
47,-51.736843,-17.856525
48,-59.48575,-15.292197
49,-35.945152,-16.10241
50,-30.38944,2.9320586
51,-37.54714,-11.263075
52,-59.07445,-8.942304
53,-40.130573,-26.530611
54,-30.331446,-37.38179
55,-59.878105,-8.24195
56,-45.832798,-22.527107
57,-34.823112,-12.184398
58,-43.449116,-21.579212
59,-53.154438,-30.14657
60,-49.498085,-4.7387505
61,-17.935957,-23.141579
62,-55.01012,-17.439917
63,-53.129463,2.7652361
64,-55.98298,-29.056297
65,-56.50817,-28.583754
66,-40.36224,-36.640305
67,-51.691822,-12.592112
68,-46.460953,-9.719993
69,-14.517272,-18.522396
70,-47.818092,-7.7129164
71,-53.572628,-21.59586
72,-42.66566,-36.56485
73,-23.143257,-23.642183
74,-27.457489,-12.531727
75,-23.065292,-34.16903
76,-51.519455,-27.280024
77,-49.0732,-27.900604
78,-30.209414,-33.103516
79,-52.893635,-9.18588
80,-24.54183,-6.6388535
81,-43.869953,-6.7997017
82,-32.340363,-29.60519
